iter	Passed	Remaining
0	60	60090
1	60	30227
2	61	20292
3	61	15300
4	61	12303
5	62	10307
6	62	8877
7	62	7807
8	63	6975
9	63	6307
10	64	5764
11	64	5311
12	64	4924
13	65	4609
14	65	4325
15	66	4074
16	66	3851
17	67	3657
18	67	3486
19	67	3330
20	68	3186
21	68	3055
22	69	2935
23	69	2825
24	69	2725
25	70	2632
26	70	2544
27	70	2463
28	71	2388
29	71	2320
30	72	2253
31	72	2192
32	72	2134
33	73	2081
34	73	2029
35	74	1983
36	74	1938
37	74	1894
38	75	1853
39	75	1815
40	76	1777
41	76	1742
42	76	1708
43	77	1675
44	77	1643
45	77	1615
46	78	1588
47	78	1562
48	79	1536
49	79	1511
50	79	1487
51	80	1463
52	80	1443
53	81	1422
54	81	1403
55	82	1385
56	82	1365
57	82	1346
58	83	1328
59	83	1310
60	84	1293
61	84	1277
62	84	1262
63	85	1247
64	85	1232
65	86	1217
66	86	1202
67	86	1185
68	86	1172
69	87	1159
70	87	1146
71	88	1134
72	88	1122
73	88	1111
74	89	1100
75	89	1089
76	89	1078
77	90	1067
78	90	1057
79	91	1047
80	91	1037
81	91	1028
82	92	1018
83	92	1010
84	92	999
85	93	991
86	93	980
87	93	972
88	94	964
89	94	956
90	94	948
91	95	940
92	95	933
93	96	925
94	96	918
95	96	911
96	97	903
97	97	897
98	97	891
99	98	884
100	98	877
101	98	869
102	99	864
103	99	857
104	99	851
105	100	845
106	100	839
107	100	833
108	101	829
109	101	823
110	102	818
111	102	813
112	102	807
113	103	802
114	103	798
115	104	792
116	104	788
117	104	784
118	105	778
119	105	774
120	105	769
121	106	765
122	106	759
123	106	754
124	107	750
125	107	745
126	107	741
127	108	736
128	108	732
129	108	728
130	109	724
131	109	720
132	109	716
133	110	712
134	110	708
135	110	704
136	111	701
137	111	697
138	111	693
139	112	690
140	112	687
141	113	684
142	113	680
143	113	677
144	114	674
145	114	670
146	115	667
147	115	664
148	115	661
149	116	658
150	116	655
151	116	652
152	117	649
153	117	646
154	117	642
155	118	639
156	118	636
157	118	633
158	119	631
159	119	629
160	120	626
161	120	623
162	120	620
163	121	618
164	121	615
165	122	613
166	122	610
167	122	608
168	123	605
169	123	602
170	123	600
171	124	597
172	124	595
173	124	593
174	125	590
175	125	588
176	126	586
177	126	583
178	126	581
179	127	579
180	127	575
181	127	574
182	128	571
183	128	569
184	128	567
185	129	565
186	129	562
187	129	560
188	130	559
189	130	557
190	131	555
191	131	552
192	131	550
193	132	548
194	132	546
195	132	544
196	133	542
197	133	540
198	133	538
199	134	536
200	134	534
201	134	533
202	135	531
203	135	529
204	136	527
205	136	525
206	136	524
207	137	522
208	137	520
209	137	518
210	138	517
211	138	515
212	139	513
213	139	511
214	139	510
215	140	508
216	140	506
217	140	505
218	141	503
219	141	501
220	141	500
221	142	498
222	142	496
223	142	495
224	143	493
225	143	492
226	144	490
227	144	488
228	144	487
229	145	486
230	145	484
231	145	483
232	146	481
233	146	479
234	147	478
235	147	477
236	147	475
237	148	474
238	148	472
239	148	471
240	149	469
241	149	468
242	149	467
243	150	465
244	150	464
245	151	463
246	151	461
247	151	460
248	152	459
249	152	457
250	152	456
251	153	454
252	153	453
253	153	452
254	154	450
255	154	449
256	155	448
257	155	446
258	155	445
259	156	444
260	156	443
261	156	441
262	157	440
263	157	439
264	158	438
265	158	437
266	159	436
267	159	435
268	159	434
269	160	432
270	160	431
271	160	430
272	161	429
273	161	428
274	161	427
275	162	425
276	162	424
277	163	423
278	163	422
279	163	420
280	164	419
281	164	418
282	164	417
283	165	416
284	165	415
285	165	414
286	166	413
287	166	411
288	166	410
289	167	409
290	167	408
291	168	407
292	168	406
293	168	405
294	169	404
295	169	403
296	169	402
297	170	400
298	170	400
299	171	399
300	171	398
301	171	396
302	172	395
303	172	394
304	172	394
305	173	393
306	173	392
307	174	391
308	174	390
309	175	389
310	175	388
311	175	387
312	176	386
313	176	385
314	176	384
315	177	383
316	177	382
317	178	383
318	178	382
319	179	381
320	179	380
321	180	379
322	180	378
323	180	377
324	181	376
325	181	375
326	182	374
327	182	373
328	182	372
329	183	371
330	183	370
331	183	369
332	184	368
333	184	367
334	184	366
335	185	365
336	185	364
337	185	363
338	186	363
339	186	362
340	187	361
341	187	360
342	187	359
343	188	358
344	188	357
345	188	356
346	189	356
347	189	355
348	189	354
349	190	353
350	190	352
351	191	351
352	191	350
353	191	349
354	192	349
355	192	348
356	192	347
357	193	346
358	193	345
359	193	344
360	194	343
361	194	342
362	194	342
363	195	341
364	195	340
365	196	339
366	196	338
367	196	337
368	197	336
369	197	336
370	197	335
371	198	334
372	198	333
373	198	333
374	199	332
375	199	331
376	200	330
377	200	329
378	200	328
379	201	328
380	201	327
381	201	326
382	202	325
383	202	325
384	203	324
385	203	323
386	203	322
387	204	321
388	204	321
389	204	320
390	205	320
391	206	319
392	206	319
393	206	318
394	207	317
395	207	316
396	208	316
397	208	315
398	208	314
399	209	313
400	209	313
401	209	312
402	210	311
403	210	310
404	211	310
405	211	309
406	212	309
407	212	308
408	212	307
409	213	306
410	213	306
411	213	305
412	214	304
413	214	303
414	214	302
415	215	302
416	215	301
417	216	300
418	216	300
419	216	299
420	217	298
421	217	298
422	217	297
423	218	296
424	218	295
425	219	295
426	219	294
427	219	293
428	220	292
429	220	292
430	220	291
431	221	290
432	221	290
433	221	289
434	222	288
435	222	288
436	223	287
437	223	286
438	223	285
439	224	285
440	224	284
441	224	283
442	225	283
443	225	282
444	226	281
445	226	281
446	226	280
447	227	279
448	227	279
449	227	278
450	228	277
451	228	277
452	228	276
453	229	275
454	229	275
455	230	274
456	230	273
457	230	273
458	231	272
459	231	271
460	231	271
461	232	270
462	232	269
463	232	269
464	233	268
465	233	267
466	233	266
467	234	266
468	234	265
469	235	265
470	235	264
471	235	263
472	236	263
473	236	262
474	237	261
475	237	261
476	237	260
477	238	259
478	238	259
479	238	258
480	239	258
481	239	257
482	239	256
483	240	256
484	240	255
485	240	254
486	241	254
487	241	253
488	241	252
489	242	252
490	242	251
491	243	251
492	243	250
493	243	249
494	244	249
495	244	248
496	244	247
497	245	247
498	245	246
499	246	246
500	246	245
501	246	244
502	247	244
503	247	243
504	247	242
505	248	242
506	248	241
507	248	240
508	249	240
509	249	239
510	249	239
511	250	238
512	250	237
513	250	237
514	251	236
515	251	236
516	252	235
517	252	235
518	253	234
519	253	233
520	253	233
521	254	232
522	254	232
523	254	231
524	255	230
525	255	230
526	256	229
527	256	229
528	256	228
529	257	228
530	257	227
531	257	226
532	258	226
533	258	225
534	258	224
535	259	224
536	259	223
537	259	223
538	260	222
