iter	Passed	Remaining
0	75	75324
1	76	38050
2	76	25509
3	79	19759
4	79	15901
5	80	13360
6	81	11517
7	81	10129
8	82	9046
9	82	8180
10	83	7475
11	87	7168
12	92	7005
13	97	6856
14	98	6487
15	100	6183
16	101	5854
17	102	5567
18	115	5957
19	115	5673
20	116	5415
21	116	5185
22	117	4975
23	119	4861
24	120	4680
25	120	4516
26	126	4547
27	133	4649
28	135	4541
29	136	4408
30	136	4271
31	137	4155
32	157	4617
33	159	4536
34	173	4793
35	175	4702
36	176	4595
37	177	4503
38	192	4733
39	193	4638
40	193	4536
41	194	4435
42	194	4334
43	196	4263
44	196	4175
45	198	4117
46	198	4033
47	199	3959
48	200	3882
49	200	3807
50	200	3737
51	201	3670
52	201	3603
53	202	3540
54	202	3477
55	202	3418
56	203	3361
57	203	3307
58	203	3252
59	204	3200
60	204	3150
61	205	3101
62	205	3055
63	205	3010
64	206	2965
65	206	2922
66	206	2881
67	207	2842
68	207	2802
69	207	2762
70	208	2724
71	208	2688
72	208	2653
73	209	2618
74	209	2584
75	209	2551
76	210	2518
77	210	2487
78	210	2457
79	213	2456
80	214	2429
81	214	2400
82	214	2371
83	215	2344
84	215	2317
85	215	2293
86	216	2267
87	216	2242
88	216	2218
89	217	2194
90	217	2170
91	217	2148
92	218	2126
93	218	2106
94	218	2085
95	219	2064
96	219	2044
97	220	2024
98	220	2005
99	220	1987
100	221	1969
101	221	1950
102	221	1932
103	222	1916
104	222	1899
105	223	1882
106	223	1866
107	223	1850
108	224	1833
109	224	1818
110	225	1803
111	225	1787
112	229	1798
113	229	1783
114	229	1768
115	230	1755
116	230	1739
117	231	1728
118	231	1716
119	232	1701
120	232	1688
121	232	1673
122	233	1661
123	233	1649
124	234	1638
125	234	1626
126	234	1613
127	235	1601
128	235	1589
129	235	1578
130	236	1566
131	236	1555
132	236	1544
133	237	1532
134	237	1521
135	237	1510
136	238	1499
137	238	1488
138	238	1478
139	239	1469
140	239	1459
141	239	1448
142	239	1438
143	240	1428
144	240	1420
145	242	1416
146	243	1413
147	244	1406
148	244	1397
149	245	1389
150	245	1382
151	246	1374
152	246	1365
153	246	1356
154	247	1348
155	247	1339
156	248	1331
157	248	1323
158	248	1316
159	249	1308
160	249	1300
161	250	1293
162	250	1287
163	251	1279
164	251	1272
165	251	1264
166	251	1256
167	252	1248
168	252	1241
169	252	1233
170	252	1226
171	253	1218
172	254	1215
173	254	1207
174	254	1200
175	254	1193
176	255	1186
177	255	1179
178	255	1173
179	256	1166
180	257	1163
181	257	1157
182	258	1152
183	258	1146
184	258	1139
185	259	1134
186	259	1127
187	259	1121
188	260	1116
189	260	1110
190	260	1104
191	261	1098
192	261	1092
193	261	1087
194	262	1082
195	262	1077
196	262	1071
197	263	1066
198	263	1061
199	263	1055
200	264	1050
201	264	1045
202	264	1040
203	265	1034
204	265	1029
205	265	1024
206	266	1019
207	266	1014
208	266	1009
209	267	1004
210	267	1000
211	267	995
212	268	990
213	268	986
214	269	982
215	269	978
216	270	974
217	270	969
218	276	984
219	276	979
220	276	975
221	277	971
222	277	967
223	278	963
